,logE_GeV,rate,rate_x_E
0,4.0,3.7503060639210163e-07,0.00462061011804776
1,4.070707070707071,3.11794577458256e-07,0.004081117745396114
2,4.141414141414141,2.1917450254704818e-07,0.003306477763580266
3,4.212121212121212,1.6311274565948354e-07,0.0027622051864379282
4,4.282828282828283,9.845645822435604e-08,0.0020420511180323712
5,4.353535353535354,5.882878717500262e-08,0.0014804863602236125
6,4.424242424242424,5.0947185010435144e-08,0.0013662701193213572
7,4.494949494949495,2.818735012066753e-08,0.0009492770438827624
8,4.565656565656566,1.821012618474782e-08,0.0007250487327410125
9,4.636363636363637,1.323748113593284e-08,0.0005898379451284111
10,4.707070707070707,8.626653696941489e-09,0.0004595603509413625
11,4.777777777777778,5.536627489810542e-09,0.000348190659937375
12,4.848484848484849,2.789201441239746e-09,0.00022915903321120003
13,4.919191919191919,2.1883626077912056e-09,0.00019221460194799672
14,4.98989898989899,1.6284132445254507e-09,0.0001619192993701834
15,5.0606060606060606,7.418643616086129e-10,9.904501039845607e-05
16,5.1313131313131315,6.324433879378865e-10,8.795395493364276e-05
17,5.202020202020202,3.976698970120651e-10,6.517860391098034e-05
18,5.2727272727272725,1.8326311787553173e-10,4.0177050882358316e-05
19,5.343434343434343,1.6201058174412456e-10,3.677671421600774e-05
20,5.414141414141414,8.958136221451615e-11,2.549008292703788e-05
21,5.484848484848484,5.1724176757933934e-11,1.7888255117339606e-05
22,5.555555555555555,5.1724176757933934e-11,1.7888255117339606e-05
23,5.626262626262626,2.281216751956472e-11,1.0465078253447136e-05
24,5.696969696969697,1.3491166750797022e-11,7.532929188080343e-06
25,5.767676767676767,9.353776951043438e-12,5.952599631210344e-06
26,5.838383838383838,4.921369975417855e-12,4.043292227852532e-06
27,5.909090909090909,3.5353100180939186e-12,3.3080126244973976e-06
28,5.979797979797979,2.47423980330601e-12,2.567571960369421e-06
29,6.05050505050505,1.3907329124641624e-12,1.7395329116230763e-06
30,6.121212121212121,9.077189257561204e-13,1.339445150228298e-06
31,6.191919191919192,5.221272416891342e-13,9.27486696219418e-07
32,6.262626262626263,3.122688955266026e-13,6.599939309103652e-07
33,6.333333333333333,2.3303192475507363e-13,5.522930072941079e-07
34,6.404040404040404,1.4364356202347409e-13,4.020847336451385e-07
35,6.474747474747474,9.986092920249575e-14,3.1279445634180485e-07
36,6.545454545454545,6.454126668189674e-14,2.3678936653838475e-07
37,6.616161616161616,4.212727548461414e-14,1.788521594625438e-07
38,6.686868686868687,2.5026259525185526e-14,1.2663142671751116e-07
39,6.757575757575758,1.731124139262793e-14,9.719803992517306e-08
40,6.828282828282829,1.0167281303594107e-14,6.822126439879366e-08
41,6.898989898989899,6.0636753730290744e-15,4.83520654844364e-08
42,6.96969696969697,4.083242684209438e-15,3.67580982705179e-08
43,7.04040404040404,2.3746229486674516e-15,2.5124602533006444e-08
44,7.111111111111111,1.325747601143942e-15,1.688079501566275e-08
45,7.181818181818182,8.75773769333826e-16,1.2742760123124565e-08
46,7.252525252525253,4.912865381511394e-16,8.667729856333711e-09
47,7.3232323232323235,2.4350847392970105e-16,5.433939624546636e-09
48,7.393939393939394,1.8762574241860102e-16,4.496202582845359e-09
49,7.4646464646464645,1.1747663673576218e-16,3.326188532440831e-09
50,7.535353535353535,6.28096754840514e-17,2.2192650003350325e-09
51,7.6060606060606055,3.734680138386435e-17,1.555977651851402e-09
52,7.6767676767676765,2.8624053191100234e-17,1.2936921593028956e-09
53,7.747474747474747,1.6611053416059107e-17,9.234069215054977e-10
54,7.818181818181818,1.0564009961823972e-17,6.799749898493726e-10
55,7.888888888888889,6.7824544708935415e-18,4.996507659014124e-10
56,7.959595959595959,4.122281925442154e-18,3.5476694095497027e-10
57,8.030303030303031,2.742284030805948e-18,2.705893845936769e-10
58,8.1010101010101,1.5921003791140102e-18,1.827914237383193e-10
59,8.171717171717171,7.7728782638680835e-19,1.1115924349439955e-10
60,8.242424242424242,4.2246273643776244e-19,7.315216724497917e-11
61,8.313131313131313,3.6328288493444865e-19,6.578561078255329e-11
62,8.383838383838384,1.79689871836127e-19,4.059940823469653e-11
63,8.454545454545453,9.441749881985275e-20,2.6078796229185215e-11
64,8.525252525252526,4.775693686322499e-20,1.618907049598405e-11
